dataset_name,model_num,mutant_type,iter,label
imdb,0,ft_0,0,0
imdb,0,ft_0,1,0
imdb,0,ft_0,2,0
imdb,0,ft_0,3,0
imdb,0,ft_0,4,0
imdb,0,ft_1,0,0
imdb,0,ft_1,1,0
imdb,0,ft_1,2,0
imdb,0,ft_1,3,0
imdb,0,ft_1,4,0
imdb,0,ft_2,0,2
imdb,0,ft_2,1,2
imdb,0,ft_2,2,2
imdb,0,ft_2,3,2
imdb,0,ft_2,4,2
imdb,0,ft_3,0,0
imdb,0,ft_3,1,0
imdb,0,ft_3,2,0
imdb,0,ft_3,3,0
imdb,0,ft_3,4,0
imdb,0,ft_4,0,0
imdb,0,ft_4,1,0
imdb,0,ft_4,2,0
imdb,0,ft_4,3,0
imdb,0,ft_4,4,0
imdb,0,ft_5,0,0
imdb,0,ft_5,1,0
imdb,0,ft_5,2,0
imdb,0,ft_5,3,0
imdb,0,ft_5,4,0
imdb,1,ft_0,0,0
imdb,1,ft_0,1,0
imdb,1,ft_0,2,0
imdb,1,ft_0,3,0
imdb,1,ft_0,4,0
imdb,1,ft_1,0,0
imdb,1,ft_1,1,0
imdb,1,ft_1,2,0
imdb,1,ft_1,3,0
imdb,1,ft_1,4,0
imdb,1,ft_2,0,0
imdb,1,ft_2,1,0
imdb,1,ft_2,2,0
imdb,1,ft_2,3,0
imdb,1,ft_2,4,0
imdb,1,ft_3,0,0
imdb,1,ft_3,1,0
imdb,1,ft_3,2,0
imdb,1,ft_3,3,0
imdb,1,ft_3,4,0
imdb,1,ft_4,0,0
imdb,1,ft_4,1,0
imdb,1,ft_4,2,0
imdb,1,ft_4,3,0
imdb,1,ft_4,4,0
imdb,1,ft_5,0,5
imdb,1,ft_5,1,5
imdb,1,ft_5,2,5
imdb,1,ft_5,3,5
imdb,1,ft_5,4,5
imdb,2,ft_0,0,0
imdb,2,ft_0,1,0
imdb,2,ft_0,2,0
imdb,2,ft_0,3,0
imdb,2,ft_0,4,0
imdb,2,ft_1,0,0
imdb,2,ft_1,1,0
imdb,2,ft_1,2,0
imdb,2,ft_1,3,0
imdb,2,ft_1,4,0
imdb,2,ft_2,0,2
imdb,2,ft_2,1,2
imdb,2,ft_2,2,2
imdb,2,ft_2,3,2
imdb,2,ft_2,4,2
imdb,2,ft_3,0,0
imdb,2,ft_3,1,0
imdb,2,ft_3,2,0
imdb,2,ft_3,3,0
imdb,2,ft_3,4,0
imdb,2,ft_4,0,0
